iter	Passed	Remaining
0	162	161862
1	170	84866
2	175	58355
3	182	45392
4	188	37538
5	195	32315
6	202	28718
7	208	25810
8	214	23638
9	220	21837
10	226	20377
11	245	20240
12	252	19164
13	259	18265
14	265	17467
15	271	16721
16	277	16051
17	283	15488
18	289	14967
19	295	14503
20	301	14047
21	323	14370
22	329	13994
23	335	13639
24	341	13299
25	347	13019
26	352	12716
27	358	12443
28	365	12232
29	371	12013
30	377	11802
31	383	11599
32	389	11401
33	401	11406
34	411	11349
35	417	11189
36	424	11052
37	431	10915
38	436	10764
39	443	10637
40	448	10495
41	454	10367
42	460	10256
43	467	10150
44	472	10037
45	479	9936
46	484	9833
47	491	9743
48	496	9643
49	503	9568
50	510	9507
51	518	9461
52	526	9403
53	535	9383
54	544	9360
55	552	9312
56	560	9267
57	567	9213
58	574	9158
59	580	9101
60	586	9032
61	593	8976
62	599	8914
63	605	8857
64	611	8797
65	617	8733
66	624	8692
67	629	8633
68	635	8575
69	644	8563
70	651	8528
71	660	8518
72	666	8469
73	674	8446
74	682	8423
75	690	8400
76	698	8371
77	705	8344
78	713	8312
79	720	8284
80	728	8262
81	737	8252
82	743	8219
83	751	8196
84	760	8186
85	767	8159
86	775	8142
87	782	8110
88	790	8089
89	797	8066
90	805	8049
91	812	8015
92	819	7988
93	825	7955
94	831	7923
95	838	7894
96	845	7866
97	852	7843
98	859	7821
99	865	7789
100	873	7777
101	880	7750
102	886	7722
103	892	7693
104	901	7683
105	907	7655
106	914	7635
107	921	7613
108	929	7596
109	935	7566
110	940	7535
111	947	7510
112	953	7481
113	958	7451
114	965	7428
115	971	7404
116	977	7377
117	983	7352
118	989	7323
119	995	7303
120	998	7253
121	1004	7226
122	1010	7206
123	1016	7181
124	1022	7157
125	1028	7134
126	1034	7110
127	1040	7086
128	1046	7066
129	1052	7042
130	1059	7028
131	1065	7003
132	1071	6982
133	1077	6964
134	1083	6944
135	1089	6920
136	1095	6903
137	1101	6881
138	1107	6859
139	1113	6839
140	1119	6818
141	1124	6797
142	1131	6778
143	1137	6760
144	1146	6759
145	1155	6757
146	1166	6767
147	1176	6773
148	1184	6766
149	1192	6757
150	1199	6744
151	1206	6733
152	1214	6721
153	1222	6717
154	1230	6705
155	1236	6692
156	1244	6684
157	1250	6665
158	1257	6651
159	1263	6634
160	1271	6626
161	1279	6616
162	1286	6604
163	1293	6593
164	1300	6580
165	1307	6570
166	1314	6557
167	1321	6545
168	1328	6532
169	1335	6520
170	1342	6506
171	1348	6491
172	1355	6478
173	1361	6462
174	1367	6446
175	1374	6434
176	1380	6419
177	1387	6409
178	1394	6394
179	1401	6382
180	1411	6386
181	1421	6386
182	1429	6380
183	1437	6373
184	1444	6361
